date,NASDAQCOM
2017-01-01,5383.12
2017-01-02,5383.12
2017-01-03,5429.08
2017-01-04,5477.0
2017-01-05,5487.94
2017-01-06,5521.06
2017-01-07,5521.06
2017-01-08,5521.06
2017-01-09,5531.82
2017-01-10,5551.82
2017-01-11,5563.65
2017-01-12,5547.49
2017-01-13,5574.12
2017-01-14,5574.12
2017-01-15,5574.12
2017-01-16,5574.12
2017-01-17,5538.73
2017-01-18,5555.65
2017-01-19,5540.08
2017-01-20,5555.33
2017-01-21,5555.33
2017-01-22,5555.33
2017-01-23,5552.94
2017-01-24,5600.96
2017-01-25,5656.34
2017-01-26,5655.18
2017-01-27,5660.78
2017-01-28,5660.78
2017-01-29,5660.78
2017-01-30,5613.71
2017-01-31,5614.79
2017-02-01,5642.65
2017-02-02,5636.2
2017-02-03,5666.77
2017-02-04,5666.77
2017-02-05,5666.77
2017-02-06,5663.55
2017-02-07,5674.22
2017-02-08,5682.45
2017-02-09,5715.18
2017-02-10,5734.13
2017-02-11,5734.13
2017-02-12,5734.13
2017-02-13,5763.96
2017-02-14,5782.57
2017-02-15,5819.44
2017-02-16,5814.9
2017-02-17,5838.58
2017-02-18,5838.58
2017-02-19,5838.58
2017-02-20,5838.58
2017-02-21,5865.95
2017-02-22,5860.63
2017-02-23,5835.51
2017-02-24,5845.31
2017-02-25,5845.31
2017-02-26,5845.31
2017-02-27,5861.9
2017-02-28,5825.44
2017-03-01,5904.03
2017-03-02,5861.22
2017-03-03,5870.75
2017-03-04,5870.75
2017-03-05,5870.75
2017-03-06,5849.17
2017-03-07,5833.93
2017-03-08,5837.55
2017-03-09,5838.81
2017-03-10,5861.73
2017-03-11,5861.73
2017-03-12,5861.73
2017-03-13,5875.78
2017-03-14,5856.82
2017-03-15,5900.05
2017-03-16,5900.76
2017-03-17,5901.0
2017-03-18,5901.0
2017-03-19,5901.0
2017-03-20,5901.53
2017-03-21,5793.83
2017-03-22,5821.64
2017-03-23,5817.69
2017-03-24,5828.74
2017-03-25,5828.74
2017-03-26,5828.74
2017-03-27,5840.37
2017-03-28,5875.14
2017-03-29,5897.55
2017-03-30,5914.34
2017-03-31,5911.74
2017-04-01,5911.74
2017-04-02,5911.74
2017-04-03,5894.68
2017-04-04,5898.61
2017-04-05,5864.48
2017-04-06,5878.95
2017-04-07,5877.81
2017-04-08,5877.81
2017-04-09,5877.81
2017-04-10,5880.93
2017-04-11,5866.77
2017-04-12,5836.16
2017-04-13,5805.15
2017-04-14,5805.15
2017-04-15,5805.15
2017-04-16,5805.15
2017-04-17,5856.79
2017-04-18,5849.47
2017-04-19,5863.03
2017-04-20,5916.78
2017-04-21,5910.52
2017-04-22,5910.52
2017-04-23,5910.52
2017-04-24,5983.82
2017-04-25,6025.49
2017-04-26,6025.23
2017-04-27,6048.94
2017-04-28,6047.61
2017-04-29,6047.61
2017-04-30,6047.61
2017-05-01,6091.6
2017-05-02,6095.37
2017-05-03,6072.55
2017-05-04,6075.34
2017-05-05,6100.76
2017-05-06,6100.76
2017-05-07,6100.76
2017-05-08,6102.66
2017-05-09,6120.59
2017-05-10,6129.14
2017-05-11,6115.96
2017-05-12,6121.23
2017-05-13,6121.23
2017-05-14,6121.23
2017-05-15,6149.67
2017-05-16,6169.87
2017-05-17,6011.24
2017-05-18,6055.13
2017-05-19,6083.7
2017-05-20,6083.7
2017-05-21,6083.7
2017-05-22,6133.62
2017-05-23,6138.71
2017-05-24,6163.02
2017-05-25,6205.26
